e2e4,e7e5
e2e4,c7c5
e2e4,g8f6
e2e4,d7d5
e2e4,b8c6
d2d4,e7e5
d2d4,c7c5
d2d4,g8f6
d2d4,d7d5
d2d4,b8c6
c2c4,e7e5
c2c4,c7c5
c2c4,g8f6
c2c4,d7d5
c2c4,b8c6
g1f3,e7e5
g1f3,c7c5
g1f3,g8f6
g1f3,d7d5
g1f3,b8c6
b1c3,e7e5
b1c3,c7c5
b1c3,g8f6
b1c3,d7d5
b1c3,b8c6
g2g3,e7e5
g2g3,c7c5
g2g3,g8f6
g2g3,d7d5
g2g3,b8c6
b2b3,e7e5
b2b3,c7c5
b2b3,g8f6
b2b3,d7d5
b2b3,b8c6
e2e3,e7e5
e2e3,c7c5
e2e3,g8f6
e2e3,d7d5
e2e3,b8c6
d2d3,e7e5
d2d3,c7c5
d2d3,g8f6
d2d3,d7d5
d2d3,b8c6
f2f4,e7e5
f2f4,c7c5
f2f4,g8f6
f2f4,d7d5
f2f4,b8c6
